Time Since Launch (m,s,ms), Pressure (hpa), Temperature (*C), Humidity (%), Altitude Above Launch (m), Time Since Launch (ms)
0m6s237ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 0.00 yaw, 0.00 pitch, 0.00 roll, 6237 ms, 0 flight state
0m7s381ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 157.84 yaw, -14.41 pitch, 70.57 roll, 7381 ms, 0 flight state
0m8s555ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 153.34 yaw, -39.89 pitch, 70.45 roll, 8555 ms, 0 flight state
0m9s711ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 153.99 yaw, -41.89 pitch, 69.70 roll, 9711 ms, 0 flight state
0m10s882ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 90.32 yaw, -4.76 pitch, 22.10 roll, 10882 ms, 0 flight state
0m12s37ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 85.90 yaw, -14.33 pitch, 4.68 roll, 12037 ms, 0 flight state
0m13s207ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 78.35 yaw, -23.10 pitch, -5.46 roll, 13207 ms, 0 flight state
0m14s363ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 109.78 yaw, 4.24 pitch, -14.79 roll, 14363 ms, 0 flight state
0m15s537ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 96.85 yaw, 4.13 pitch, -19.13 roll, 15537 ms, 0 flight state
0m16s690ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 143.15 yaw, 13.70 pitch, -63.68 roll, 16690 ms, 0 flight state
0m17s867ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 142.07 yaw, 32.89 pitch, 2.44 roll, 17867 ms, 0 flight state
0m19s19ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 141.14 yaw, 33.60 pitch, 3.33 roll, 19019 ms, 0 flight state
0m20s189ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 133.02 yaw, 40.24 pitch, 5.79 roll, 20189 ms, 0 flight state
0m21s341ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 125.37 yaw, 51.43 pitch, 0.25 roll, 21341 ms, 0 flight state
0m22s515ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 115.89 yaw, 58.12 pitch, -8.06 roll, 22515 ms, 0 flight state
0m23s672ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 133.31 yaw, 33.60 pitch, -7.08 roll, 23672 ms, 0 flight state
0m24s848ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 70.60 yaw, -16.34 pitch, 13.19 roll, 24848 ms, 0 flight state
0m26s3ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 46.18 yaw, -8.50 pitch, -17.82 roll, 26003 ms, 0 flight state
0m27s172ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 46.69 yaw, 11.66 pitch, -16.76 roll, 27172 ms, 0 flight state
0m28s327ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 16.68 yaw, 16.74 pitch, 28.81 roll, 28327 ms, 0 flight state
0m29s499ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 33.33 yaw, 23.34 pitch, 51.13 roll, 29499 ms, 0 flight state
0m30s652ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 43.91 yaw, 21.02 pitch, 34.97 roll, 30652 ms, 0 flight state
0m31s823ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 27.68 yaw, 27.93 pitch, 21.47 roll, 31823 ms, 0 flight state
0m32s978ms, 994 hPa, 25 *C, 41 %, -1 m above launch, 5.00 yaw, 26.64 pitch, -2.92 roll, 32978 ms, 0 flight state
0m34s148ms, 994 hPa, 25 *C, 41 %, 0 m above launch, 36.81 yaw, 48.13 pitch, 66.14 roll, 34148 ms, 0 flight state
0m35s301ms, 994 hPa, 25 *C, 41 %, 0 m above launch, -14.82 yaw, 57.92 pitch, 11.03 roll, 35301 ms, 0 flight state
0m36s476ms, 994 hPa, 25 *C, 41 %, 0 m above launch, -18.56 yaw, 59.64 pitch, 12.91 roll, 36476 ms, 0 flight state
0m37s631ms, 994 hPa, 25 *C, 42 %, -1 m above launch, -26.44 yaw, 66.89 pitch, 1.91 roll, 37631 ms, 0 flight state
0m38s804ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 4.23 yaw, 50.37 pitch, 25.37 roll, 38804 ms, 0 flight state
0m39s957ms, 994 hPa, 25 *C, 42 %, -1 m above launch, 121.33 yaw, -55.15 pitch, -76.44 roll, 39957 ms, 0 flight state
0m41s136ms, 994 hPa, 25 *C, 41 %, -1 m above launch, -6.85 yaw, -81.63 pitch, 101.88 roll, 41136 ms, 0 flight state
0m42s297ms, 994 hPa, 25 *C, 41 %, -1 m above launch, -27.48 yaw, -68.92 pitch, 165.53 roll, 42297 ms, 0 flight state
0m43s478ms, 994 hPa, 25 *C, 41 %, -1 m above launch, -31.89 yaw, -81.50 pitch, -110.12 roll, 43478 ms, 0 flight state
